name,level,division,conference,state,city,athletics_url
Point University,college,NAIA,Southern States Athletic Conference,GA,West Point,
Pomona CollegeandPitzer College,college,NCAA_D3,Southern California Intercollegiate Athletic Conference,CA,Claremont,
Portland State University,college,NCAA_D1_FCS,Big Sky Conference,OR,Portland,
Post University,college,NCAA_D2,Central Atlantic Collegiate Conference,CT,Waterbury,
Prairie View A&M University,college,NCAA_D1_FCS,Southwestern Athletic Conference,TX,Prairie View,
Pratt Institute,college,NCAA_D3,Atlantic East Conference,NY,Brooklyn,
Presbyterian College,college,NCAA_D1_FCS,Big South Conference,SC,Clinton,
Princeton University,college,NCAA_D1_FCS,Ivy League,NJ,Princeton,
Principia College,college,NCAA_D3,St. Louis Intercollegiate Athletic Conference,IL,Elsah,
Providence College,college,NCAA_D1,Big East Conference,RI,Providence,
Purdue University,college,NCAA_D1_FBS,Big Ten Conference,IN,West Lafayette,
Purdue University Fort Wayne,college,NCAA_D1,Horizon League,IN,Fort Wayne,
Purdue University Northwest,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,IN,HammondandWestville,
Queens College,college,NCAA_D2,East Coast Conference,NY,Flushing,
Queens University of Charlotte,college,NCAA_D1,Atlantic Sun Conference,NC,Charlotte,
Quincy University,college,NCAA_D2,Great Lakes Valley Conference,IL,Quincy,
Quinnipiac University,college,NCAA_D1,Metro Atlantic Athletic Conference,CT,Hamden,
Radford University,college,NCAA_D1,Big South Conference,VA,Radford,
Ramapo College,college,NCAA_D3,New Jersey Athletic Conference,NJ,Mahwah,
Randolph College,college,NCAA_D3,Old Dominion Athletic Conference,VA,Lynchburg,
Randolph–Macon College,college,NCAA_D3,Old Dominion Athletic Conference,VA,Ashland,
Regent University,college,NCAA_D3,Coast to Coast Athletic Conference,VA,Virginia Beach,
Regis College,college,NCAA_D3,Great Northeast Athletic Conference,MA,Weston,
Regis University,college,NCAA_D2,Rocky Mountain Athletic Conference,CO,Denver,
Reinhardt University,college,NAIA,Appalachian Athletic Conference,GA,Waleska,
Rensselaer Polytechnic Institute,college,NCAA_D3,Liberty League,NY,Troy,
Rhode Island College,college,NCAA_D3,Little East Conference,RI,Providence,
Rhodes College,college,NCAA_D3,Southern Athletic Association,TN,Memphis,
Rider University,college,NCAA_D1,Metro Atlantic Athletic Conference,NJ,Lawrenceville,
Ripon College,college,NCAA_D3,Midwest Conference,WI,Ripon,
Rivier University,college,NCAA_D3,Great Northeast Athletic Conference,NH,Nashua,
Roanoke College,college,NCAA_D3,Old Dominion Athletic Conference,VA,Salem,
Robert Morris University,college,NCAA_D1_FCS,Horizon League,PA,Moon,
Roberts Wesleyan University,college,NCAA_D2,East Coast Conference,NY,North Chili,
Rochester Christian University,college,NAIA,Wolverine–Hoosier Athletic Conference,MI,Rochester,
Rochester Institute of Technology,college,NCAA_D3,Liberty League,NY,Rochester,
Rockford University,college,NCAA_D3,Northern Athletics Collegiate Conference,IL,Rockford,
Rockhurst University,college,NCAA_D2,Great Lakes Valley Conference,MO,Kansas City,
Rocky Mountain College,college,NAIA,Frontier Conference,MT,Billings,
Roger Williams University,college,NCAA_D3,Conference of New England,RI,Bristol,
Rogers State University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,OK,Claremore,
Rollins College,college,NCAA_D2,Sunshine State Conference,FL,Winter Park,
Roosevelt University,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,IL,Chicago,
Rose-Hulman Institute of Technology,college,NCAA_D3,Heartland Collegiate Athletic Conference,IN,Terre Haute,
